state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg
Alaska (EV: 3),2020-11-24 13:26:23.111000,Trump,Biden,189457,153551,35906,9210,0,0,0,423,441,2.4492942453854507,0.0,0.48826023669388013
Alaska (EV: 3),2020-11-19 13:22:30.927000,Trump,Biden,189457,153551,35906,9210,7323,0.5272429332240884,0.4727570667759115,407,441,2.4492942453854507,0.8754721925214817,0.48826023669388013
Alaska (EV: 3),2020-11-18 17:25:33.757000,Trump,Biden,185769,150262,35507,16533,0,0,0,389,441,1.573822052863969,0.0,0.5295940170940171
Alaska (EV: 3),2020-11-16 17:12:12.460000,Trump,Biden,185769,150262,35507,16533,9950,0.4403015075376885,0.5596984924623115,441,441,1.573822052863969,0.38101912268234317,0.5295940170940171
Alaska (EV: 3),2020-11-15 18:50:50.207000,Trump,Biden,181661,144966,36695,26483,4734,0.5688635403464302,0.4311364596535699,441,441,1.1928029301816259,0.11550530388826008,0.5754432540058785
Alaska (EV: 3),2020-11-14 02:45:23.181000,Trump,Biden,179080,143037,36043,31217,9595,0.5458572173006775,0.45414278269932257,441,441,1.0772976262933658,0.14650521229748226,0.5896752150996855
Alaska (EV: 3),2020-11-13 14:17:31.486000,Trump,Biden,173233,138070,35163,40812,13161,0.4028189347314034,0.5971810652685966,441,441,0.9307924139958835,0.08134917385729568,0.6235223662969328
Alaska (EV: 3),2020-11-13 02:33:50.011000,Trump,Biden,168954,131233,37721,53973,25245,0.3627649039413745,0.6372350960586255,441,441,0.8494432401385879,0.06762597638540047,0.5864054848188051
Alaska (EV: 3),2020-11-12 16:45:22.414000,Trump,Biden,160193,115543,44650,79218,25805,0.4633016857198218,0.5366983142801782,441,441,0.7818172637531874,0.060227707179865364,0.5334665120075611
Alaska (EV: 3),2020-11-11 13:19:23.895000,Trump,Biden,148624,102080,46544,105023,20749,0.4705287001783218,0.5294712998216782,441,441,0.721589556573322,0.031694349372991315,0.5575250310656592
Alaska (EV: 3),2020-11-11 02:47:42.281000,Trump,Biden,139264,91497,47767,125772,49264,0.4306694543683014,0.5693305456316986,441,441,0.6898952072003307,0.033933005139040406,0.5693406950308542
Alaska (EV: 3),2020-11-09 19:14:34.730000,Trump,Biden,118844,64246,54598,175036,18939,0.584904166006653,0.41509583399334704,441,441,0.6559622020612903,0.02351729936764424,0.3345585092742969
Alaska (EV: 3),2020-11-04 18:40:57.265000,Trump,Biden,108231,56849,51382,193975,39556,0.7040272019415512,0.2959727980584488,360,441,0.6324449026936461,0.056992393176708234,0.29598543836586105
Alaska (EV: 3),2020-11-04 13:28:22.084000,Trump,Biden,80999,45758,35241,233531,0,0,0,201,441,0.5754525095169378,0.5754525095169378,
Arizona (EV: 11),2020-11-23 19:17:16.859000,Biden,Trump,1672143,1661686,10457,0,0,0,0,1489,1489,0,0,0.5369073191992777
Arizona (EV: 11),2020-11-19 16:36:33.988000,Biden,Trump,1672143,1661686,10457,0,0,0,0,1487,1489,0,-1.9674431658714566,0.5369073191992777
Arizona (EV: 11),2020-11-16 18:53:53.155000,Biden,Trump,1672143,1661686,10457,3563,98,0.9081632653061225,0.09183673469387756,1487,1489,1.9674431658714566,0.05020743792827176,0.5369073191992777
Arizona (EV: 11),2020-11-15 01:32:29.652000,Biden,Trump,1672054,1661677,10377,3661,425,0.6964705882352942,0.3035294117647059,1487,1489,1.9172357279431849,0.1678475732686866,0.5382693688911095
Arizona (EV: 11),2020-11-14 23:57:27.695000,Biden,Trump,1671760,1661550,10210,4086,350,0.7771428571428571,0.22285714285714286,1487,1489,1.7493881546744983,0.12044315918306459,0.5414266725742135
Arizona (EV: 11),2020-11-14 16:39:04.498000,Biden,Trump,1671491,1661475,10016,4436,0,0,0,1487,1489,1.6289449954914337,0.0,0.544994879672299
Arizona (EV: 11),2020-11-14 01:02:25.341000,Biden,Trump,1671491,1661475,10016,4436,3102,0.337846550612508,0.662153449387492,1486,1489,1.6289449954914337,0.39784921411706375,0.544994879672299
Arizona (EV: 11),2020-11-14 00:45:04.696000,Biden,Trump,1670481,1659459,11022,7538,424,0.5424528301886793,0.45754716981132076,1485,1489,1.23109578137437,0.041193746709712764,0.527059676250302
Arizona (EV: 11),2020-11-13 21:43:44.929000,Biden,Trump,1670260,1659274,10986,7962,2,0.0,1.0,1485,1489,1.1899020346646572,4.769011417993241e-05,0.5279613313754283
Arizona (EV: 11),2020-11-13 18:16:31.620000,Biden,Trump,1670260,1659272,10988,7964,3681,0.4394186362401521,0.5605813637598479,1485,1489,1.1898543445504772,0.19891402681754466,0.5279324481429358
Arizona (EV: 11),2020-11-13 04:13:29.688000,Biden,Trump,1668684,1657250,11434,11645,4057,0.549297510475721,0.45070248952427905,1485,1489,0.9909403177329326,0.13958380263931391,0.5313156053184045
Arizona (EV: 11),2020-11-13 03:18:29.398000,Biden,Trump,1666495,1655461,11034,15702,0,0,0,1485,1489,0.8513565150936186,-0.04669543295832945,0.5421475577896094
Arizona (EV: 11),2020-11-13 02:47:50.891000,Biden,Trump,1666495,1655461,11034,13860,0,0,0,1485,1489,0.8980519480519481,0.044057722835393776,0.5421475577896094
Arizona (EV: 11),2020-11-13 00:43:26.131000,Biden,Trump,1666495,1655461,11034,15585,1122,0.34135472370766484,0.6586452762923352,1485,1489,0.8539942252165543,0.01311914291572236,0.5421475577896094
Arizona (EV: 11),2020-11-12 21:41:43.571000,Biden,Trump,1666122,1654732,11390,16707,5589,0.48693862945070676,0.5130613705492932,1485,1489,0.840875082300832,0.08217396999369164,0.5455569502108075
Arizona (EV: 11),2020-11-12 21:26:43.977000,Biden,Trump,1663460,1651924,11536,22296,1,0.0,1.0,1484,1489,0.7587011123071403,-1.0822033802426745e-05,0.55
Arizona (EV: 11),2020-11-12 17:36:42.542000,Biden,Trump,1663460,1651923,11537,22297,0,0,0,1484,1489,0.7587119343409428,0.00037076366603572275,0.5499859106421616
Arizona (EV: 11),2020-11-12 17:29:23.553000,Biden,Trump,1663460,1651923,11537,22329,127,0.11417322834645671,0.8858267716535433,1484,1489,0.758341170674907,-0.0007209953386305701,0.5499859106421616
Arizona (EV: 11),2020-11-12 03:20:22.382000,Biden,Trump,1663447,1651812,11635,22456,13143,0.4546146237540897,0.5453853762459103,1484,1489,0.7590621660135376,0.07888856563150437,0.548660882685779
Arizona (EV: 11),2020-11-11 23:15:16.621000,Biden,Trump,1657621,1644793,12828,35599,4966,0.5015102698348772,0.4984897301651228,1484,1489,0.6801736003820332,0.022241885849801024,0.5705338405036726
Arizona (EV: 11),2020-11-11 03:16:43.081000,Biden,Trump,1655192,1642379,12813,40565,0,0,0,1482,1489,0.6579317145322322,0.0,0.6025826755919672
Arizona (EV: 11),2020-11-11 02:03:02.956000,Biden,Trump,1655192,1642379,12813,40565,5291,0.42732942732942736,0.5726705726705726,1481,1489,0.6579317145322322,0.0098376810360703,0.6025826755919672
Arizona (EV: 11),2020-11-11 01:53:22.423000,Biden,Trump,1652979,1639397,13582,45856,342,0.6052631578947368,0.39473684210526316,1481,1489,0.6480940334961619,0.00187558248096642,0.6071377176572169
Arizona (EV: 11),2020-11-11 00:58:21.613000,Biden,Trump,1652778,1639268,13510,46198,384,0.16927083333333337,0.8307291666666666,1481,1489,0.6462184510151955,-0.0015210191664197792,0.6092491933842978
Arizona (EV: 11),2020-11-11 00:51:21.673000,Biden,Trump,1652716,1638952,13764,46582,1228,0.3143322475570033,0.6856677524429967,1481,1489,0.6477394701816153,-0.0009741880488804977,0.6067491695817043
Arizona (EV: 11),2020-11-11 00:29:20.933000,Biden,Trump,1652350,1638130,14220,47810,64,0.5546875,0.4453125,1481,1489,0.6487136582304958,0.00027191532202774926,0.6037937238876521
Arizona (EV: 11),2020-11-10 23:20:02.003000,Biden,Trump,1652315,1638102,14213,47874,914,0.36050328227571116,0.6394967177242888,1481,1489,0.648441742908468,0.00016757712999793117,0.604118923213249
Arizona (EV: 11),2020-11-10 21:42:43.157000,Biden,Trump,1651994,1637526,14468,48788,5480,0.4758211678832117,0.5241788321167883,1481,1489,0.6482741657784701,0.012531186490491897,0.603118222110458
Arizona (EV: 11),2020-11-10 20:19:00.618000,Biden,Trump,1648643,1633910,14733,54268,15,0.06666666666666665,0.9333333333333333,1479,1489,0.6357429792879782,-8.223302526910725e-05,0.5633505267778753
